ANÁLISIS LÉXICO - ANALIZADOR DART
Desarrollador: HenryOlvera
Archivo analizado: algoritmos/algoritmo_henry.dart
Fecha y hora: 14/06/2026 17:32
TOKENS ENCONTRADOS: 225

[Línea 49] PARENTESIS_IZQ       → (
[Línea 49] CADENA               → 'Opción 1'
[Línea 49] PARENTESIS_DER       → )
[Línea 49] PUNTOYCOMA           → ;
[Línea 50] BREAK                → break
[Línea 50] PUNTOYCOMA           → ;
[Línea 51] DEFAULT              → default
[Línea 51] DOS_PUNTOS           → :
[Línea 52] PRINT                → print
[Línea 52] PARENTESIS_IZQ       → (
[Línea 52] CADENA               → 'Opción por defecto'
[Línea 52] PARENTESIS_DER       → )
[Línea 52] PUNTOYCOMA           → ;
[Línea 53] BREAK                → break
[Línea 53] PUNTOYCOMA           → ;
[Línea 54] LLAVE_DER            → }
[Línea 57] INT_TYPE             → int
[Línea 57] IDENTIFICADOR        → a
[Línea 57] ASIGNACION           → =
[Línea 57] ENTERO               → 5
[Línea 57] PUNTOYCOMA           → ;
[Línea 58] INT_TYPE             → int
[Línea 58] IDENTIFICADOR        → b
[Línea 58] ASIGNACION           → =
[Línea 58] ENTERO               → 10
[Línea 58] PUNTOYCOMA           → ;
[Línea 59] IF                   → if
[Línea 59] PARENTESIS_IZQ       → (
[Línea 59] IDENTIFICADOR        → a
[Línea 59] MENOR                → <
[Línea 59] IDENTIFICADOR        → b
[Línea 59] OR                   → ||
[Línea 59] IDENTIFICADOR        → a
[Línea 59] IGUAL_IGUAL          → ==
[Línea 59] IDENTIFICADOR        → b
[Línea 59] PARENTESIS_DER       → )
[Línea 59] LLAVE_IZQ            → {
[Línea 60] PRINT                → print
[Línea 60] PARENTESIS_IZQ       → (
[Línea 60] CADENA               → 'a < b o a == b'
[Línea 60] PARENTESIS_DER       → )
[Línea 60] PUNTOYCOMA           → ;
[Línea 61] LLAVE_DER            → }
[Línea 63] IF                   → if
[Línea 63] PARENTESIS_IZQ       → (
[Línea 63] NOT                  → !
[Línea 63] PARENTESIS_IZQ       → (
[Línea 63] IDENTIFICADOR        → a
[Línea 63] DISTINTO             → !=
[Línea 63] IDENTIFICADOR        → b
[Línea 63] PARENTESIS_DER       → )
[Línea 63] PARENTESIS_DER       → )
[Línea 63] LLAVE_IZQ            → {
[Línea 64] PRINT                → print
[Línea 64] PARENTESIS_IZQ       → (
[Línea 64] CADENA               → 'a es igual a b (negado)'
[Línea 64] PARENTESIS_DER       → )
[Línea 64] PUNTOYCOMA           → ;
[Línea 65] LLAVE_DER            → }
[Línea 65] ELSE                 → else
[Línea 65] LLAVE_IZQ            → {
[Línea 66] PRINT                → print
[Línea 66] PARENTESIS_IZQ       → (
[Línea 66] CADENA               → 'a es distinto de b'
[Línea 66] PARENTESIS_DER       → )
[Línea 66] PUNTOYCOMA           → ;
[Línea 67] LLAVE_DER            → }
[Línea 69] PRINT                → print
[Línea 69] PARENTESIS_IZQ       → (
[Línea 69] CADENA               → 'Fin del algoritmo de prueba'
[Línea 69] PARENTESIS_DER       → )
[Línea 69] PUNTOYCOMA           → ;
[Línea 70] LLAVE_DER            → }

ANÁLISIS COMPLETADO
